question,gt
Which lecture of ITI 1121 is announced at the very beginning?,The second lecture
What platform does the instructor expect students to monitor?,Piazza
Which assignment has already been posted?,Assignment one
What programming language will they start hands-on with today?,Java
Structured programming is also known as what?,Procedural programming
What do we call routines in Java?,Methods
What does the instructor want interfaces to hide?,Internal details
Which general class abstracts both Student and Professor?,Person
Does Java allow multiple inheritance of classes?,No
What major typing property of Java is highlighted?,Strongly typed
In the Students class diagram what two sections are shown?,Attributes and methods
What color are the cross link arrows between Student and Professor?,Red
Which side of the slide contains the Student class box?,Left
How many cross link arrows are drawn between the two class boxes?,11
Which class shows the misspelled method getEmployeID()?,Professor
In the TA inheritance diagram what is the top general class?,Person
In that TA diagram how many nodes are present?,4
In that TA diagram how many inheritance edges?,4
What UML symbol indicates generalization?,Hollow triangular arrowhead
What aggregation link is shown in the e commerce diagram?,Inventory _— Item
What multiplicity appears on the ShoppingCart–Item connector?,0..*
What multiplicity appears on the Customer–Address connector?,1..*
What operation name appears in PaymentProcessing?,processPayment(...): boolean
In the data types table what two categories are distinguished?,Primitive and reference
In the array memory diagram what default element value is shown?,0
What is the course code on the introduction slide?,ITI 1121
Name the primary author on the slides.,Mehrdad (Mike) Sabetzadeh
Name one contributor besides the author.,G. V. Jourdan
Name another listed contributor.,M. Turcotte
Give the version date on the intro slide.,January 15 2022
What is the title of the slide introducing variables?,Variables
What guiding question appears under that title?,What is a variable?
Name one outline topic shown on the lecture header.,Primitive vs reference types
What is the filename of the Java class in the live coding demo?,Constant.java
Which two fields are declared in that class?,name and value
What method is used to print output in the code?,System.out.println
What string name is used when constructing the Constant?,golden ratio
What slide number is shown on the Variables slide?,3
What filename label appears in the PDF viewer during the lecture?,Lecture-2C
What is the title of the slide that sketches the shop system?,E-Commerce Web Site
