question,gt
Which lecture number is announced at the start?,18th
Which assignment is due this evening?,A3
If two students work together how many submissions are expected?,One
What two queue implementations were covered previously?,Linked and array-based
What is the main focus today regarding queues?,Queue-based algorithms
What term describes decoupling producer and server speeds via a buffer?,Asynchronous processing
In the rock concert example what mechanism handles bursts of requests?,A queue buffer
Why is there a printer queue?,The printer is relatively slow
What happens if clients send faster than the server can process?,The buffer overflows
What CPU time sharing technique is discussed for fairness?,Round robin
In the round robin diagram which operation takes the front item to the CPU?,dequeue()
In that diagram which operation returns the item to the rear?,enqueue()
Where do new processes enter the ready queue in the diagram?,Rear
What are the two ends of the queue labeled in the diagram?,front and rear
In the binary sequence algorithm what is initially enqueued?,The empty string
After dequeuing s what two items are enqueued?,s+0 and s+1
In what order are the generated binary strings listed?,Increasing length
What four letter alphabet is used in the generalized diagram?,L R U D
In the grid diagrams what does the letter D stand for?,Down
What symbol marks the starting cell in the grid diagrams?,X
Name one example path label shown under an obstacle grid.,DRRURRDD
In the depth 1 level of the binary tree what two nodes appear?,0 and 1
Which rightmost leaf is bracketed in red in the tree diagram?,1111
Which leaf is shown in blue brackets in the tree diagram?,11
What search strategy expands the tree layer by layer as shown?,Breadth-first search
What is the course title shown on the first slide?,ITI 1121. Introduction to Computing II
Name one contributor credited besides the author.,G.V. Jourdan
Name another contributor credited.,M. Turcotte
What version date is printed on the title page?,December 26 2021
Which school is credited on the title page?,School of Electrical Engineering and Computer Science
What note about printing appears on the title page?,Do not print unless necessary
Name one abstract topic listed on the title page.,Queues-based algorithms
Name another listed abstract topic.,Asynchronous processes
Name a third listed abstract topic.,Simulations
Name a fourth listed abstract topic.,State-space search
In the file manager screenshot which panel item is selected?,My Files
Name one file shown in the list.,CircularQueue
What is the method name shown in the code editor for validity checking?,checkPath
What parameter type does that method take?,String
What auxiliary structure is used to track visits in code?,boolean[][] visited
