question,prediction(model's answer),ground_truth(correct answer),Expert_Annotation1,Expert_Annotation 2,Final_Decision
Which other modeling notation besides activity diagrams does the lecturer say is used to specify system behavior,Sequence diagrams,State machines,0,0,0
What are the two broad categories of UML diagrams mentioned in the lecture,Behavioral and Structural diagrams,Structural and behavioral,1,1,1
In structural models what do we mainly capture according to the lecture,"Requirements, analysis, domain modeling, and domain analysis.",Static entities and their relationships,0,0,0
What key aspects do behavioral models focus on according to the lecture,"Behavioral models focus on specifying the behavior of the system, including use case scenarios, main sequences, branches, actors, data, and communication types.",Behavior and concurrency over time,1,1,1
Which kind of communication is described as reliable but makes the sender wait synchronous or asynchronous,synchronous,Synchronous communication,1,1,1
Which kind of communication continues without waiting synchronous or asynchronous,Asynchronous,Asynchronous communication,1,1,1
What object is produced and then used when sending an invoice in the example flow,The data object.,Invoice used by Make Payment,0,0,0
After shipping the order which two activities proceed in parallel in the order process example,The video descriptions do not provide information about shipping orders or parallel activities in the order process example.,Receive order and Bill customer,0,0,0
What does a join bar require before its single outflow can execute,A join bar requires all incoming flows to complete before its single outflow can execute.,All inflows must arrive,1,1,1
What does a flow final node terminate according to the slides,The flow final node terminates a specific flow in the activity diagram.,A single flow,1,1,1
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes composition,The descriptions do not mention a REVIEW OF UML RELATIONSHIPS slide or symbols for composition.,Filled black diamond,0,0,0
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes aggregation,The video descriptions do not mention a REVIEW OF UML RELATIONSHIPS slide or symbols for aggregation.,Hollow diamond,0,0,0
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes generalization or inheritance,The descriptions do not provide information about a UML relationships slide or symbols for generalization.,Hollow triangle arrowhead,0,0,0
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes realization of an interface,The textual frame descriptions do not mention a REVIEW OF UML RELATIONSHIPS slide or symbols denoting realization of an interface.,Dashed line with hollow triangle arrowhead,0,0,0
On the REVIEW OF UML RELATIONSHIPS slide what multiplicity is shown near Engine in the BoatÐEngine example,The provided frame descriptions do not include any mention of a UML relationships slide or a Boat–Engine example.,0..1,0,0,0
