question,prediction,ground_truth,Expert_Annotation1,Expert_Annotation2,Final_Decision
Which lecture of ITI 1121 is announced at the very beginning?,The second lecture of ITI 1121 is announced at the very beginning.,The second lecture,1,1,1
What platform does the instructor expect students to monitor?,Piazza.,Piazza,1,1,1
Which assignment has already been posted?,Assignment one has already been posted. (Timestamp: 27.2-31.64s),Assignment one,1,1,1
What programming language will they start hands-on with today?,Java,Java,1,1,1
Structured programming is also known as what?,Procedural programming.,Procedural programming,1,1,1
What do we call routines in Java?,Methods.,Methods,1,1,1
What does the instructor want interfaces to hide?,"The instructor wants interfaces to hide the internal details of objects, methods, and data that are not meant to be exposed to the outside world. This includes private attributes and methods used internally for operations within a class, ensuring that external interactions focus on the public interface without needing to know the underlying implementation.",Internal details,1,1,1
Which general class abstracts both Student and Professor?,Person,Person,1,1,1
Does Java allow multiple inheritance of classes?,"No, Java does not allow multiple inheritance of classes.",No,1,1,1
What major typing property of Java is highlighted?,"Java is a strongly typed language, meaning that variables must be explicitly declared with a specific type at compile time before being used. This ensures that the type of each variable is known and enforced during compilation, preventing implicit type conversions.",Strongly typed,1,1,1
In the Students class diagram what two sections are shown?,"The Students class diagram shows two sections:

1. **Attributes**: This section lists the data fields associated with the ""Student"" class, such as `lastName`, `firstName`, `studentID`, `dateOfBirth`, and `address`.

2. **Methods**: This section lists the operations or functions that the ""Student"" class can perform, such as `getStudentID()`, `getName()`, `getDOB()`, `getGPA()`, `enroll()`, and `getAddress()`.",Attributes and methods,1,1,1
What color are the cross link arrows between Student and Professor?,Red.,Red,1,1,1
Which side of the slide contains the Student class box?,The **left side** of the slide contains the Student class box.,Left,1,1,1
How many cross link arrows are drawn between the two class boxes?,There are no cross-link arrows drawn between the two class boxes explicitly in the retrieved segments.,11,0,0,0
Which class shows the misspelled method getEmployeID()?,The retrieved segments do not contain any mention of a method named `getEmployeID()` or any indication of a misspelled method.,Professor,0,0,0
In the TA inheritance diagram what is the top general class?,Person,Person,1,1,1
In that TA diagram how many nodes are present?,"The TA diagram contains **4 nodes**:

1. **Person** — type: data/class (concept node); shape: rectangle; position: top center of the diagram.
2. **Student** — type: data/class; shape: rectangle; position: below-left of ""Person"".
3. **Professor** — type: data/class; shape: rectangle; position: below-right of ""Person"".
4. **TA** — type: data/class; shape: rectangle; position: bottom center, below the ""Student"" and ""Professor"" boxes.",4,1,1,1
In that TA diagram how many inheritance edges?,**4 inheritance edges.**,4,1,1,1
What UML symbol indicates generalization?,The UML symbol that indicates generalization is a **solid line with a hollow triangular arrowhead** pointing to the more general concept.,Hollow triangular arrowhead,1,1,1
What aggregation link is shown in the e commerce diagram?,"The e-commerce diagram does not explicitly depict an aggregation link. The diagram shows undirected associations between entities, with no specific symbols or annotations indicating aggregation relationships.",Inventory _Ñ Item,0,0,0
What multiplicity appears on the ShoppingCartÐItem connector?,A small multiplicity marker “0” appears near the bottom node end of the connector above the bottom wide box in the diagram.,0..*,0,0,0
What multiplicity appears on the CustomerÐAddress connector?,The retrieved segments do not contain any information about a Customer–Address connector or its multiplicity.,1..*,0,0,0
What operation name appears in PaymentProcessing?,"The retrieved segments do not contain any reference to ""PaymentProcessing"" or any operation name associated with it.",processPayment(...): boolean,0,0,0
In the data types table what two categories are distinguished?,Primitive types and reference types.,Primitive and reference,1,1,1
In the array memory diagram what default element value is shown?,The default element value shown in the array memory diagram is `0`.,0,1,1,1
What is the course code on the introduction slide?,The course code on the introduction slide is **ITI 1121**.,ITI 1121,1,1,1
Name the primary author on the slides.,Mehrdad (Mike) Sabetzadeh,Mehrdad (Mike) Sabetzadeh,1,1,1
Name one contributor besides the author.,G.V. Jourdan,G. V. Jourdan,1,1,1
Name another listed contributor.,G.V. Jourdan,M. Turcotte,0,0,0
Give the version date on the intro slide.,15-Jan-22,January 15 2022,1,1,1
What is the title of the slide introducing variables?,"""Variables""",Variables,1,1,1
What guiding question appears under that title?,The retrieved segments do not explicitly mention a guiding question under the title.,What is a variable?,0,0,0
Name one outline topic shown on the lecture header.,Memory representation,Primitive vs reference types,0,0,0
What is the filename of the Java class in the live coding demo?,Constant.java,Constant.java,1,1,1
Which two fields are declared in that class?,`name` (a `String`) and `value` (a `double`).,name and value,1,1,1
What method is used to print output in the code?,System.out.println,System.out.println,1,1,1
What string name is used when constructing the Constant?,"""golden ratio""",golden ratio,1,1,1
What slide number is shown on the Variables slide?,The Variables slide is shown on slide number 28 of 134.,3,0,0,0
What filename label appears in the PDF viewer during the lecture?,"""Lecture2""",Lecture-2C,1,1,1
What is the title of the slide that sketches the shop system?,"""E-Commerce Web Site""",E-Commerce Web Site,1,1,1
