question,prediction,ground_truth,Expert_Annotation1,Expert_Annotation2,Final_Decision
Which lecture number is announced at the start?,18th lecture,18th,1,1,1
Which assignment is due this evening?,A3 is due this evening.,A3,1,1,1
If two students work together how many submissions are expected?,One submission is expected.,One,1,1,1
What two queue implementations were covered previously?,"The two queue implementations covered previously were:
1. Linked queue.
2. Array-based implementation of queues.",Linked and array-based,1,1,1
What is the main focus today regarding queues?,"The main focus today regarding queues is on their conceptual understanding, applications in computer science, and specific algorithms. Topics include queue-based algorithms, exhaustive search, breadth-first search, binary sequence generation, and their use in asynchronous processes, simulations, and time-shared applications.",Queue-based algorithms,0,0,0
What term describes decoupling producer and server speeds via a buffer?,Asynchronous processing.,Asynchronous processing,1,1,1
In the rock concert example what mechanism handles bursts of requests?,A queue handles bursts of requests in the rock concert example.,A queue buffer,1,1,1
Why is there a printer queue?,"A printer queue is necessary because the printer is a relatively slow machine. If multiple users (e.g., 10-15 people) are using the printer simultaneously, the tasks need to wait in the queue until it's their turn to be processed. This allows the application sending the print request to move on to other tasks while the document waits in the queue for its turn to be printed.",The printer is relatively slow,1,1,1
What happens if clients send faster than the server can process?,"If clients send faster than the server can process, the following can happen:

1. A queue (buffer) is formed to temporarily store incoming requests until the server can process them. ([audio] 288.36-296.52s, [audio] 373.4-382.44s, [visual] 149s-708s)
2. If the queue becomes full and there is no space left, additional incoming requests will be lost or discarded. ([audio] 947.88-956.92s, [audio] 965.88-972.84s, [audio] 982.6-991.32s)
3. The server processes requests one at a time, but if the rate of incoming requests consistently exceeds the server's processing capacity, the queue will continue to grow, potentially leading to an overflow. ([audio] 321.96-330.92s, [audio] 3325.42-3328.42s, [audio] 3076.42-3090.42s)
4. This situation can result in inefficiencies, such as wasted resources or delays, as the server struggles to keep up with the demand. ([audio] 612.76-623.8s, [audio] 624.68-633.72s, [audio] 663.08-670.6s)",The buffer overflows,1,1,1
What CPU time sharing technique is discussed for fairness?,Round-robin time sharing.,Round robin,1,1,1
In the round robin diagram which operation takes the front item to the CPU?,dequeue(),dequeue(),1,1,1
In that diagram which operation returns the item to the rear?,"The operation that returns the item to the rear in the diagram is **""enqueue()""**.",enqueue(),1,1,1
Where do new processes enter the ready queue in the diagram?,New processes enter the ready queue at the rear in the diagram.,Rear,1,1,1
What are the two ends of the queue labeled in the diagram?,"The two ends of the queue in the diagram are labeled as ""front"" and ""rear.""",front and rear,1,1,1
In the binary sequence algorithm what is initially enqueued?,"An empty string (`""""`) is initially enqueued.",The empty string,1,1,1
After dequeuing s what two items are enqueued?,"After dequeuing `s`, the two items enqueued are `s + ""0""` and `s + ""1""`.",s+0 and s+1,1,1,1
In what order are the generated binary strings listed?,"The generated binary strings are listed in **increasing order of length**. For strings of the same length, they are listed in **lexicographical order**.",Increasing length,1,1,1
What four letter alphabet is used in the generalized diagram?,"L, R, U, D",L R U D,1,1,1
In the grid diagrams what does the letter D stand for?,Down.,Down,1,1,1
What symbol marks the starting cell in the grid diagrams?,"""X"" marks the starting cell in the grid diagrams.",X,1,1,1
Name one example path label shown under an obstacle grid.,"""DRURRDD""",DRRURRDD,1,1,1
In the depth 1 level of the binary tree what two nodes appear?,"""0"" and ""1""",0 and 1,1,1,1
Which rightmost leaf is bracketed in red in the tree diagram?,"The rightmost leaf bracketed in red in the tree diagram is ""[10]"".",1111,0,0,0
Which leaf is shown in blue brackets in the tree diagram?,"The leaf ""010"" is shown in blue brackets in the tree diagram.",11,0,0,0
What search strategy expands the tree layer by layer as shown?,Breadth-first search (BFS).,Breadth-first search,1,1,1
What is the course title shown on the first slide?,ITI 1121. Introduction to Computing II,ITI 1121. Introduction to Computing II,1,1,1
Name one contributor credited besides the author.,G.V. Jourdan,G.V. Jourdan,1,1,1
Name another contributor credited.,G.V. Jourdan and M. Turcotte.,M. Turcotte,1,1,1
What version date is printed on the title page?,"December 26, 2021.",December 26 2021,1,1,1
Which school is credited on the title page?,School of Electrical Engineering and Computer Science.,School of Electrical Engineering and Computer Science,1,1,1
What note about printing appears on the title page?,"""These lecture notes are meant to be looked at on a computer screen. Do not print them unless it is necessary.""",Do not print unless necessary,1,1,1
Name one abstract topic listed on the title page.,Queue-based algorithms,Queues-based algorithms,1,1,1
Name another listed abstract topic.,Exhaustive search.,Asynchronous processes,0,0,0
Name a third listed abstract topic.,State-space search,Simulations,0,0,0
Name a fourth listed abstract topic.,State-space search,State-space search,1,1,1
In the file manager screenshot which panel item is selected?,"""My Files"" is selected.",My Files,1,1,1
Name one file shown in the list.,Lecture1-B,CircularQueue,0,0,0
What is the method name shown in the code editor for validity checking?,checkPath,checkPath,1,1,1
What parameter type does that method take?,The retrieved segments do not explicitly state the parameter type that the method takes.,String,0,0,0
What auxiliary structure is used to track visits in code?,A **boolean array** named `visited` is used to track visits in the code.,boolean[][] visited,1,1,1
